CDT_Code__c,CDT_Description__c,Benefit_Category__c,Frequency_Limit__c,Frequency_Period__c,Age_Min__c,Age_Max__c,Tooth_Specific__c,Quadrant_Specific__c,Requires_Preauth__c,Notes__c,DHMO_Copay_11A__c,DHMO_Copay_15B__c,DHMO_Copay_17B__c
D0120,Periodic oral evaluation - established patient,Diagnostic and Preventive,1,Per 6 Months,0,999,false,false,false,Per provider,,,
D0140,Limited oral evaluation - problem focused,Diagnostic and Preventive,1,Per Lifetime,0,999,false,false,false,Per patient per provider,,,
D0145,Oral evaluation patient under 3 and counseling with caregiver,Diagnostic and Preventive,1,Per Lifetime,0,3,false,false,false,,,,
D0150,Comprehensive oral evaluation - new or established patient,Diagnostic and Preventive,1,Per Lifetime,0,999,false,false,false,Per patient per provider,,,
D0160,Detailed and extensive oral evaluation - problem focused,Diagnostic and Preventive,1,Per Lifetime,0,999,false,false,false,Per patient per provider; by report,,,
D0170,Re-evaluation - limited problem focused,Diagnostic and Preventive,6,Per 3 Months,0,999,false,false,false,Max 12 in 12 months; not post-op,,,
D0171,Re-evaluation - post-operative office visit,Diagnostic and Preventive,,,0,999,false,false,false,,,,
D0180,Comprehensive periodontal evaluation,Diagnostic and Preventive,1,Per Lifetime,0,999,false,false,false,New or established patient,,,
D0210,Intraoral - complete series of radiographic images,Diagnostic and Preventive,1,Per 36 Months,0,999,false,false,false,Per provider,,,
D0220,Intraoral - periapical first radiographic image,Diagnostic and Preventive,20,Per 12 Months,0,999,false,false,false,Combined D0220+D0230 max 20 per 12 mo per provider,,,
D0230,Intraoral - periapical each additional radiographic image,Diagnostic and Preventive,20,Per 12 Months,0,999,false,false,false,Combined D0220+D0230 max 20 per 12 mo per provider,,,
D0240,Intraoral - occlusal radiographic image,Diagnostic and Preventive,2,Per 6 Months,0,999,false,false,false,Per provider,,,
D0250,Extra-oral 2D projection radiographic image,Diagnostic and Preventive,1,Per Date of Service,0,999,false,false,false,,,,
D0251,Extra-oral posterior dental radiographic image,Diagnostic and Preventive,4,Per Date of Service,0,999,false,false,false,,,,
D0270,Bitewing - single radiographic image,Diagnostic and Preventive,1,Per Date of Service,0,999,false,false,false,,,,
D0272,Bitewings - two radiographic images,Diagnostic and Preventive,1,Per 6 Months,0,999,false,false,false,Per provider,,,
D0273,Bitewings - three radiographic images,Diagnostic and Preventive,1,Per 6 Months,0,999,false,false,false,,,,
D0274,Bitewings - four radiographic images,Diagnostic and Preventive,1,Per 6 Months,10,999,false,false,false,Per provider; age 10+,,,
D0277,Vertical bitewings - 7 to 8 radiographic images,Diagnostic and Preventive,4,Per Calendar Year,0,999,false,false,false,,,,
D0330,Panoramic radiographic image,Diagnostic and Preventive,1,Per 36 Months,0,999,false,false,false,Per provider,,,
D0340,2D cephalometric radiographic image,Diagnostic and Preventive,2,Per 12 Months,0,999,false,false,false,Per provider,,,
D0350,2D oral/facial photographic image,Diagnostic and Preventive,4,Per Date of Service,0,999,false,false,false,,,,
D0460,Pulp vitality tests,Diagnostic and Preventive,,,0,999,false,false,false,Included in fee for diagnostic/restorative/endo; not separately payable,,,
D0470,Diagnostic casts,Diagnostic and Preventive,1,Per Lifetime,0,999,false,false,false,Per provider; for ortho eval only,,,
D0601,Caries risk assessment - low risk,Diagnostic and Preventive,1,Per 12 Months,0,999,false,false,false,One D0601/D0602/D0603 per 12 mo,,,
D0602,Caries risk assessment - moderate risk,Diagnostic and Preventive,1,Per 12 Months,0,999,false,false,false,One D0601/D0602/D0603 per 12 mo,,,
D0603,Caries risk assessment - high risk,Diagnostic and Preventive,1,Per 12 Months,0,999,false,false,false,One D0601/D0602/D0603 per 12 mo,,,
D0999,Unspecified diagnostic procedure by report,Diagnostic and Preventive,,,0,999,false,false,false,By report,,,
D1110,Prophylaxis - adult,Diagnostic and Preventive,1,Per 6 Months,0,999,false,false,false,,,5,
D1120,Prophylaxis - child,Diagnostic and Preventive,1,Per 6 Months,0,999,false,false,false,,,5,
D1206,Topical application of fluoride varnish,Diagnostic and Preventive,1,Per 6 Months,0,19,false,false,false,Frequency applies toward D1208,,,
D1208,Topical application of fluoride - excluding varnish,Diagnostic and Preventive,1,Per 6 Months,0,19,false,false,false,Frequency applies toward D1206,,,
D1310,Nutritional counseling for control of dental disease,Diagnostic and Preventive,,,0,999,false,false,false,,,,
D1320,Tobacco counseling for prevention of oral disease,Diagnostic and Preventive,,,0,999,false,false,false,Not separately payable,,,
D1330,Oral hygiene instructions,Diagnostic and Preventive,,,0,999,false,false,false,Not separately payable,,,
D1351,Sealant - per tooth,Diagnostic and Preventive,1,Per 36 Months,0,999,true,false,false,Per provider; permanent molars without caries or restorations on occlusal,10,15,17
D1352,Preventive resin restoration - moderate to high caries risk,Diagnostic and Preventive,1,Per 36 Months,0,999,true,false,false,Per provider; permanent tooth,,,
D1353,Sealant repair - per tooth,Diagnostic and Preventive,,,0,999,true,false,false,,,,
D1354,Application of caries arresting medicament - per tooth,Diagnostic and Preventive,1,Per 6 Months,0,999,true,false,false,When high caries risk assessment,,,
D1510,Space maintainer - fixed unilateral per quadrant,Diagnostic and Preventive,1,Per Lifetime,0,17,false,true,false,Per quadrant; through age 17,,,
D1516,Space maintainer - fixed bilateral maxillary,Diagnostic and Preventive,1,Per Lifetime,0,17,false,false,false,Per arch; through age 17,,,
D1517,Space maintainer - fixed bilateral mandibular,Diagnostic and Preventive,1,Per Lifetime,0,17,false,false,false,Per arch; through age 17,,,
D1520,Space maintainer - removable unilateral per quadrant,Diagnostic and Preventive,1,Per Lifetime,0,17,false,true,false,Per quadrant; through age 17,,,
D1575,Distal shoe space maintainer - fixed unilateral,Diagnostic and Preventive,1,Per Lifetime,0,8,false,true,false,Per quadrant; under age 9,,,
D4346,Scaling in presence of generalized moderate or severe gingival inflammation,Diagnostic and Preventive,1,Per 6 Months,0,999,false,false,false,Full mouth; after oral evaluation,,,
D9310,Consultation - diagnostic service by other dentist,Diagnostic and Preventive,,,0,999,false,false,false,,,,
D9995,Teledentistry - synchronous,Diagnostic and Preventive,,,0,999,false,false,false,Inclusive in overall patient management; not separately payable,,,
D9996,Teledentistry - asynchronous,Diagnostic and Preventive,,,0,999,false,false,false,Inclusive in overall patient management; not separately payable,,,
D2140,Amalgam - one surface primary or permanent,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,,8,17
D2150,Amalgam - two surfaces primary or permanent,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,,8,17
D2160,Amalgam - three surfaces primary or permanent,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,,8,17
D2161,Amalgam - four or more surfaces primary or permanent,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,,8,17
D2330,Resin-based composite - one surface anterior,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,,22,22
D2331,Resin-based composite - two surfaces anterior,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,,22,22
D2332,Resin-based composite - three surfaces anterior,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,,22,22
D2335,Resin-based composite - four or more surfaces anterior,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,,22,22
D2390,Resin-based composite crown anterior,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,,,
D2391,Resin-based composite - one surface posterior,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,55,65,47
D2392,Resin-based composite - two surfaces posterior,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,55,65,47
D2393,Resin-based composite - three surfaces posterior,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,55,65,47
D2394,Resin-based composite - four or more surfaces posterior,Basic,1,Per 12 Months,0,999,true,false,false,Primary teeth 12mo; permanent 36mo,55,65,47
D2920,Re-cement or re-bond crown,Basic,1,Per 12 Months,0,999,true,false,false,Per provider,,,
D2929,Prefabricated porcelain/ceramic crown - primary tooth,Basic,1,Per 12 Months,0,999,true,false,false,,,,
D2930,Prefabricated stainless steel crown - primary tooth,Basic,1,Per 12 Months,0,999,true,false,false,,,,
D2931,Prefabricated stainless steel crown - permanent tooth,Basic,1,Per 36 Months,0,999,true,false,false,,,,
D2940,Protective restoration,Basic,1,Per 6 Months,0,999,true,false,false,Per tooth per provider; when definitive tx not same DOS,,,
D2950,Core buildup including any pins,Basic,1,Per Lifetime,0,999,true,false,false,,15,80,105
D2951,Pin retention - per tooth in addition to restoration,Basic,1,Per Lifetime,0,999,true,false,false,Permanent teeth only,,,
D2952,Post and core in addition to crown indirectly fabricated,Basic,1,Per Lifetime,0,999,true,false,false,Per tooth,,,
D2954,Prefabricated post and core in addition to crown,Basic,1,Per Lifetime,0,999,true,false,false,Per tooth,,,
D4355,Full mouth debridement,Basic,,,13,999,false,false,false,Included in periodontal procedures fee; not separately payable,,,
D4910,Periodontal maintenance,Basic,1,Per 3 Months,13,999,false,false,false,Only in 24 months following last SRP; age 13+,15,45,78
D9110,Palliative treatment of dental pain,Basic,1,Per Date of Service,0,999,false,false,false,Per provider regardless of teeth/areas treated,,,
D9210,Local anesthesia not in conjunction with operative,Basic,1,Per Date of Service,0,999,false,false,false,Per provider,,,
D9222,Deep sedation/general anesthesia - first 15 min,Basic,,,0,999,false,false,false,For covered oral surgery or selected endo/perio surgical,,,
D9230,Inhalation of nitrous oxide/analgesia anxiolysis,Basic,,,0,999,false,false,false,,,,
D3110,Pulp cap - direct,Endodontics Periodontics Oral Surgery,,,0,999,true,false,false,Excluding final restoration,,,
D3120,Pulp cap - indirect,Endodontics Periodontics Oral Surgery,,,0,999,true,false,false,Excluding final restoration,,,
D3220,Therapeutic pulpotomy,Endodontics Periodontics Oral Surgery,1,Per Lifetime,0,999,true,false,false,Primary teeth only; once per tooth,,,
D3310,Endodontic therapy anterior tooth,Endodontics Periodontics Oral Surgery,1,Per Lifetime,0,999,true,false,false,Excluding final restoration; retreatment processed as D3346,55,125,330
D3320,Endodontic therapy premolar tooth,Endodontics Periodontics Oral Surgery,1,Per Lifetime,0,999,true,false,false,Excluding final restoration; retreatment as D3347,,,
D3330,Endodontic therapy molar tooth,Endodontics Periodontics Oral Surgery,1,Per Lifetime,0,999,true,false,false,Excluding final restoration; retreatment as D3348,250,365,530
D3346,Retreatment of previous root canal therapy - anterior,Endodontics Periodontics Oral Surgery,,,0,999,true,false,false,,,,
